Subject,List,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,807.7551020408164,3175.170068027211,5387.052154195011,7843.5374149659865,10613.287981859412,13088.707482993197,15822.108843537417,20342.31292517007,24593.560090702947,28598.344671201816,31336.73469387755,,,,,,
0,1,1727.324263038549,4441.768707482994,7046.122448979591,11225.850340136054,14661.723356009072,17896.87074829932,20992.108843537415,24144.467120181405,28004.53514739229,33750.7029478458,36902.65306122449,44921.22448979592,60159.95464852608,,,,
0,2,1724.126984126984,3362.199546485261,6222.675736961452,9689.84126984127,13224.104308390024,16522.31292517007,,,,,,,,,,,
0,3,1355.578231292517,3323.4240362811793,6387.3015873015875,9118.140589569162,16516.780045351476,19377.256235827666,29822.517006802722,,,,,,,,,,
0,4,1369.8185941043084,3407.324263038549,6117.074829931973,8829.97732426304,11380.340136054421,14501.337868480725,17735.17006802721,,,,,,,,,,
0,5,1148.0272108843537,3959.501133786848,6961.72335600907,9480.430839002267,11981.609977324262,14861.746031746032,17721.224489795917,25917.596371882086,,,,,,,,,
0,6,1479.6371882086169,3696.8027210884356,6245.14739229025,8802.33560090703,11334.285714285714,14876.689342403628,17556.507936507936,20520.31746031746,24018.548752834467,28765.668934240362,49380.158730158735,,,,,,
0,7,1211.700680272109,3377.120181405896,5248.934240362812,8077.052154195011,10529.977324263038,14083.492063492065,29174.353741496598,37487.95918367347,49250.77097505669,,,,,,,,
1,0,626.077097505669,2651.519274376417,4934.081632653061,7323.492063492064,9387.369614512472,11604.51247165533,13557.868480725623,15458.208616780046,17298.571428571428,19584.37641723356,21480.884353741498,23639.95464852608,25493.12925170068,,,,
1,1,1091.496598639456,2755.215419501134,4372.925170068028,6214.988662131519,8359.931972789116,10209.546485260771,12129.115646258504,13855.532879818595,15961.56462585034,17737.551020408162,20322.65306122449,22124.98866213152,30100.0,31897.05215419501,,,
1,2,1203.9002267573696,2905.056689342404,4511.541950113378,6373.265306122449,8242.834467120181,10198.458049886622,12150.340136054423,14182.1768707483,16098.480725623585,18133.15192743764,20031.632653061228,24949.569160997733,,,,,
1,3,1209.7278911564626,3401.1111111111113,5081.111111111111,7178.594104308389,9205.30612244898,11693.265306122448,13674.37641723356,15770.272108843537,17639.138321995462,20477.551020408166,22930.18140589569,24760.56689342404,26479.84126984127,28550.97505668934,30456.303854875285,32066.89342403628,
1,4,1114.4217687074831,3445.532879818594,5812.857142857143,8069.3197278911575,10415.102040816328,12569.727891156463,14433.174603174602,16266.689342403626,18653.945578231294,20705.60090702948,23951.26984126984,26014.852607709752,28223.877551020407,30351.72335600907,32279.25170068027,33768.185941043084,
1,5,1085.4875283446713,2989.8185941043084,5560.31746031746,8060.385487528345,10493.650793650793,12633.310657596372,14699.047619047618,17097.68707482993,20244.648526077097,22477.188208616783,24617.86848072562,26922.19954648526,41398.77551020408,42996.417233560096,45114.98866213152,46699.50113378685,50191.02040816327
1,6,1480.544217687075,3339.433106575964,5435.918367346939,7623.877551020409,14796.530612244898,16490.61224489796,18441.700680272108,20571.26984126984,25833.151927437644,27764.53514739229,29399.773242630385,31252.94784580499,,,,,
1,7,2217.8684807256236,4060.2267573696145,6587.074829931973,8948.117913832199,11405.306122448981,13698.4126984127,16307.165532879819,18414.21768707483,20792.49433106576,22965.056689342404,25150.022675736964,26951.791383219956,29517.95918367347,31227.95918367347,,,
2,0,40.61224489795919,631.9501133786848,2468.3219954648525,3779.183673469388,5524.693877551021,7201.972789115646,9195.895691609978,10930.113378684808,20559.410430839,,,,,,,,
2,1,875.1020408163266,2571.7233560090704,4068.75283446712,5730.770975056689,7610.317460317461,9728.888888888889,11563.832199546485,15706.394557823129,17473.287981859412,26985.78231292517,,,,,,,
2,2,651.0204081632653,2267.732426303855,4436.303854875283,6754.897959183673,8689.569160997733,10950.022675736962,12796.190476190477,19074.399092970525,38591.95011337868,,,,,,,,
2,3,684.1723356009071,2596.3265306122453,4311.315192743765,6939.319727891157,8576.802721088436,10663.197278911564,27034.53514739229,,,,,,,,,,
2,4,944.3310657596372,3120.453514739229,6637.936507936508,8733.174603174604,10418.412698412698,12483.42403628118,14635.804988662132,16967.233560090706,19410.18140589569,21488.43537414966,25857.21088435374,31221.2925170068,,,,,
2,5,687.6190476190477,2650.476190476191,4108.91156462585,5631.609977324263,7293.628117913832,8970.612244897959,10580.907029478458,12469.84126984127,14521.723356009072,17111.11111111111,24859.591836734693,,,,,,
2,6,716.530612244898,2872.698412698413,5663.219954648526,8664.331065759636,10920.090702947846,13665.192743764173,16097.732426303857,18475.691609977326,23964.852607709752,,,,,,,,
2,7,528.8208616780046,1622.1541950113378,2976.190476190476,4575.78231292517,6213.038548752835,7904.693877551021,9679.07029478458,11473.151927437642,16649.43310657596,,,,,,,,
3,0,779.9546485260771,1823.4013605442176,3039.9773242630386,4108.775510204082,5292.7210884353735,6356.009070294785,7333.1292517006805,12293.514739229026,14364.399092970523,16066.439909297053,25319.95464852608,26955.60090702948,28790.24943310658,36706.57596371882,,,
3,1,1101.4739229024945,2846.8027210884356,4745.124716553289,6724.3764172335605,8559.319727891158,10553.832199546487,12525.238095238095,14276.984126984127,17029.79591836735,18784.39909297052,20720.362811791383,37716.689342403624,,,,,
3,2,1075.3968253968253,3771.609977324263,6298.59410430839,8894.807256235827,11225.62358276644,13673.968253968254,15877.573696145126,18808.004535147393,21027.00680272109,23389.886621315192,25375.55555555556,27972.607709750566,30017.664399092973,31915.73696145125,33766.78004535147,,
3,3,1438.3673469387754,3969.6145124716554,6726.666666666667,9969.591836734693,12555.12471655329,17124.21768707483,25326.41723356009,27570.47619047619,29591.473922902496,53817.75510204082,57939.115646258506,,,,,,
3,4,1582.4943310657598,3357.7551020408164,5062.222222222223,6587.34693877551,9119.297052154196,10718.072562358277,12553.446712018142,14489.818594104308,17457.66439909297,18959.97732426304,20645.62358276644,29037.981859410433,30886.462585034013,33294.0589569161,,,
3,5,1678.095238095238,3348.480725623583,5072.902494331066,8319.68253968254,9581.678004535148,19833.061224489797,23875.78231292517,31725.41950113379,33092.99319727891,34561.70068027211,41443.945578231294,,,,,,
3,6,2628.27664399093,4852.131519274376,6997.913832199546,9280.748299319726,11304.71655328798,13312.585034013606,18351.882086167803,20734.013605442175,24565.03401360544,,,,,,,,
3,7,2119.2743764172337,4735.736961451247,7486.938775510204,11904.69387755102,13661.020408163266,15824.603174603175,22324.625850340137,24055.714285714286,26056.757369614512,27911.360544217685,32831.70068027211,34772.789115646265,47103.15192743764,49262.22222222222,,,
4,0,366.3945578231292,1359.183673469388,2677.3015873015875,3849.2743764172337,8292.698412698412,9221.337868480725,12962.040816326531,13881.020408163266,35626.439909297056,37342.01814058957,,,,,,,
4,1,704.1723356009071,2122.879818594104,3593.1292517006805,5209.115646258503,6760.31746031746,16719.38775510204,38684.19501133787,43984.19501133787,,,,,,,,,
4,2,690.748299319728,1987.7777777777778,3598.956916099773,7960.47619047619,10528.480725623582,16716.643990929704,18190.77097505669,34580.657596371886,,,,,,,,,
4,3,1003.1292517006802,2372.1315192743764,3714.0589569160998,5276.213151927438,7688.798185941043,13863.333333333334,15184.580498866213,16465.804988662134,17793.1746031746,24086.621315192744,27762.65306122449,28824.648526077097,37594.39909297052,,,,
4,4,734.6485260770975,2061.609977324263,3597.845804988662,4808.412698412699,6407.891156462585,9324.081632653062,11021.020408163266,14162.81179138322,18010.52154195011,,,,,,,,
4,5,1135.1927437641725,2884.512471655329,5474.195011337868,7038.934240362812,8678.14058956916,17814.126984126986,21528.185941043084,27315.804988662134,42737.98185941043,,,,,,,,
4,6,599.6145124716553,2303.0839002267576,4393.038548752835,19246.12244897959,20776.122448979593,43518.594104308395,44855.102040816324,,,,,,,,,,
4,7,740.453514739229,2374.5578231292516,4143.106575963719,6203.718820861678,8807.777777777777,10552.403628117912,12444.467120181405,14453.650793650795,19825.034013605444,22593.061224489797,24287.256235827666,,,,,,
5,0,169.63718820861678,1860.5895691609978,3778.0272108843537,5450.430839002268,7273.560090702948,9852.267573696146,16283.650793650793,20268.39002267574,,,,,,,,,
5,1,1158.7755102040817,3348.458049886621,5834.693877551021,8001.4512471655335,10330.453514739229,12477.256235827666,14781.904761904761,17312.04081632653,19970.816326530614,21987.256235827666,40416.28117913832,,,,,,
5,2,1255.0340136054424,3665.8049886621316,5871.587301587302,8332.925170068027,10575.30612244898,12985.918367346938,14845.80498866213,17989.750566893425,22549.274376417234,51155.14739229025,,,,,,,
5,3,746.031746031746,4011.927437641724,6949.614512471656,9771.632653061224,12716.167800453515,15597.845804988661,17737.210884353743,20086.984126984127,22160.97505668934,,,,,,,,
5,4,1102.9024943310658,3412.9478458049884,5605.759637188209,7466.371882086169,9548.367346938776,11526.916099773242,13425.827664399094,15449.682539682539,17210.9977324263,19197.097505668935,21456.122448979593,24207.34693877551,26447.029478458047,31787.505668934242,,,
5,5,1204.7392290249431,3737.5963718820863,6155.1927437641725,8064.7845804988665,9964.399092970521,11866.031746031746,13725.918367346938,15700.92970521542,17804.55782312925,19852.19954648526,21907.93650793651,23993.197278911568,25819.591836734693,,,,
5,6,1375.827664399093,3579.614512471655,5643.5147392290255,7541.8594104308395,13919.750566893425,15672.19954648526,17614.285714285714,19306.235827664397,21089.22902494331,35007.573696145126,,,,,,,
